[2026-05-14 14:26:25] User=AD0001 | LOGIN
[2026-05-14 14:27:02] User=AD0001 | LOGOUT
[2026-05-17 22:31:09] User=AD0001 | LOGIN
[2026-05-17 22:33:49] User=AD0001 | LOGIN
[2026-05-17 22:36:26] User=AD0001 | LOGOUT
[2026-05-17 22:36:55] User=MG030001 | LOGIN
[2026-05-17 22:58:53] User=MG030001 | LOGOUT
[2026-05-17 23:00:12] User=AD0001 | LOGIN
[2026-05-17 23:03:00] User=AD0001 | LOGOUT
[2026-05-17 23:10:09] User=AD0001 | LOGIN
[2026-05-17 23:10:49] User=AD0001 | LOGOUT
